,francisco_gross,data_hora,pacotuba,sao_joao,ilha_da_luz
0,86.63,2023-02-10 22:00:00,103.38,13.48,260.72
1,88.21,2023-02-10 21:00:00,107.19,13.7,265.7
2,92.99,2023-02-10 20:00:00,113.03,13.7,271.98
3,97.83,2023-02-10 19:00:00,117.01,14.15,279.6
4,101.08,2023-02-10 18:00:00,121.05,14.15,286.04
5,101.08,2023-02-10 17:00:00,123.09,14.38,293.84
6,101.08,2023-02-10 16:00:00,127.23,14.61,301.75
7,101.08,2023-02-10 15:00:00,131.43,14.61,311.1
8,101.08,2023-02-10 14:00:00,133.55,14.84,320.59
9,104.37,2023-02-10 13:00:00,137.85,15.31,328.83
10,111.0,2023-02-10 12:00:00,144.41,15.54,337.16
11,122.85,2023-02-10 11:00:00,153.39,15.54,345.6
12,126.28,2023-02-10 10:00:00,160.29,15.78,352.7
13,122.85,2023-02-10 09:00:00,167.33,16.02,358.43
14,128.01,2023-02-10 08:00:00,172.11,16.26,364.21
15,128.01,2023-02-10 07:00:00,179.39,16.5,367.11
16,129.74,2023-02-10 06:00:00,186.81,16.99,367.11
17,129.74,2023-02-10 05:00:00,194.37,17.49,367.11
18,129.74,2023-02-10 04:00:00,202.08,17.49,365.66
19,142.01,2023-02-10 03:00:00,202.08,18.25,364.21
20,149.14,2023-02-10 02:00:00,204.67,18.76,362.76
21,158.17,2023-02-10 01:00:00,204.67,19.29,359.87
22,158.17,2023-02-10 00:00:00,202.08,20.08,359.87
23,158.17,2023-02-09 23:00:00,202.08,20.89,356.99
24,163.64,2023-02-09 22:00:00,199.49,21.71,354.13
25,178.45,2023-02-09 21:00:00,202.08,23.12,352.7
26,180.32,2023-02-09 20:00:00,202.08,24.28,349.85
27,176.58,2023-02-09 19:00:00,202.08,25.76,345.6
28,176.58,2023-02-09 18:00:00,202.08,27.28,341.37
29,178.45,2023-02-09 17:00:00,199.49,28.85,334.37
30,172.86,2023-02-09 16:00:00,202.08,30.78,324.7
31,171.01,2023-02-09 15:00:00,202.08,32.77,309.76
32,171.01,2023-02-09 14:00:00,204.67,35.16,289.93
33,171.01,2023-02-09 13:00:00,202.08,37.64,271.98
34,171.01,2023-02-09 12:00:00,194.37,40.56,260.72
35,165.47,2023-02-09 11:00:00,174.52,43.98,252.12
36,163.64,2023-02-09 10:00:00,153.39,47.12,246.06
37,150.94,2023-02-09 09:00:00,144.41,49.55,240.07
38,149.14,2023-02-09 08:00:00,135.69,49.14,236.51
39,143.79,2023-02-09 07:00:00,127.23,46.33,236.51
40,145.57,2023-02-09 06:00:00,121.05,45.93,237.7
41,158.17,2023-02-09 05:00:00,115.01,46.33,240.07
42,185.97,2023-02-09 04:00:00,113.03,45.54,236.51
43,184.08,2023-02-09 03:00:00,113.03,41.69,221.38
44,75.77,2023-02-09 02:00:00,125.15,28.22,194.67
45,77.3,2023-02-09 01:00:00,142.21,30.45,179.84
46,77.3,2023-02-09 00:00:00,142.21,37.64,179.84
47,77.3,2023-02-08 23:00:00,103.38,19.02,180.88
48,75.77,2023-02-08 22:00:00,72.01,16.02,184.02
49,72.73,2023-02-08 21:00:00,70.42,16.75,188.25
50,74.24,2023-02-08 20:00:00,72.01,14.61,190.38
51,74.24,2023-02-08 19:00:00,75.23,13.48,192.52
52,72.73,2023-02-08 18:00:00,76.87,13.48,194.67
53,74.24,2023-02-08 17:00:00,78.52,13.48,194.67
54,74.24,2023-02-08 16:00:00,81.87,13.7,196.84
55,74.24,2023-02-08 15:00:00,83.57,13.7,196.84
56,74.24,2023-02-08 14:00:00,85.29,13.93,196.84
57,75.77,2023-02-08 13:00:00,87.03,13.93,196.84
58,77.3,2023-02-08 12:00:00,87.03,14.15,196.84
59,80.38,2023-02-08 11:00:00,87.03,14.15,195.75
60,85.06,2023-02-08 10:00:00,87.03,14.38,193.59
61,89.8,2023-02-08 09:00:00,90.55,14.61,189.31
62,89.8,2023-02-08 08:00:00,92.33,14.84,187.19
63,89.8,2023-02-08 07:00:00,92.33,15.07,186.13
64,94.6,2023-02-08 06:00:00,87.03,15.54,188.25
65,99.45,2023-02-08 05:00:00,81.87,16.5,192.52
66,99.45,2023-02-08 04:00:00,75.23,17.24,199.01
67,99.45,2023-02-08 03:00:00,70.42,18.25,203.39
68,99.45,2023-02-08 02:00:00,72.01,20.08,205.6
69,89.8,2023-02-08 01:00:00,78.52,21.99,207.82
70,81.93,2023-02-08 00:00:00,83.57,24.28,207.82
71,89.8,2023-02-07 23:00:00,87.03,25.46,208.94
72,101.08,2023-02-07 22:00:00,88.78,24.86,206.71
73,89.8,2023-02-07 21:00:00,92.33,22.84,205.6
74,80.38,2023-02-07 20:00:00,94.13,20.35,201.2
75,83.49,2023-02-07 19:00:00,94.13,18.0,195.75
76,81.93,2023-02-07 18:00:00,90.55,16.5,185.07
77,81.93,2023-02-07 17:00:00,83.57,15.78,184.02
78,36.22,2023-02-07 16:00:00,78.52,15.07,185.07
79,86.63,2023-02-07 15:00:00,80.19,15.31,184.02
80,86.63,2023-02-07 14:00:00,80.19,15.54,184.02
81,86.63,2023-02-07 13:00:00,81.87,16.02,184.02
82,86.63,2023-02-07 12:00:00,81.87,16.5,184.02
83,86.63,2023-02-07 11:00:00,83.57,16.99,181.93
84,86.63,2023-02-07 10:00:00,83.57,17.49,179.84
85,86.63,2023-02-07 09:00:00,85.29,18.25,176.74
86,80.38,2023-02-07 08:00:00,87.03,19.02,172.64
87,78.84,2023-02-07 07:00:00,87.03,19.81,167.57
88,78.84,2023-02-07 06:00:00,87.03,20.89,162.58
89,78.84,2023-02-07 05:00:00,83.57,21.99,158.64
90,78.84,2023-02-07 04:00:00,80.19,23.12,155.71
91,80.38,2023-02-07 03:00:00,76.87,24.28,153.78
92,78.84,2023-02-07 02:00:00,72.01,25.46,154.74
93,78.84,2023-02-07 01:00:00,67.3,26.06,156.69
94,78.84,2023-02-07 00:00:00,62.74,26.06,158.64
95,78.84,2023-02-06 23:00:00,59.79,24.28,160.6
96,77.3,2023-02-06 22:00:00,61.26,23.12,161.59
97,77.3,2023-02-06 21:00:00,62.74,24.28,160.6
98,77.3,2023-02-06 20:00:00,67.3,26.36,153.78
99,71.22,2023-02-06 19:00:00,72.01,27.9,144.26
100,71.22,2023-02-06 18:00:00,78.52,26.97,138.69
101,71.22,2023-02-06 17:00:00,81.87,25.46,133.23
102,71.22,2023-02-06 16:00:00,81.87,24.57,129.64
103,71.22,2023-02-06 15:00:00,80.19,15.54,126.1
104,72.73,2023-02-06 14:00:00,80.19,15.54,124.35
105,71.22,2023-02-06 13:00:00,68.85,15.78,122.6
106,71.22,2023-02-06 12:00:00,73.61,16.26,121.74
107,71.22,2023-02-06 11:00:00,75.23,16.99,120.87
108,72.73,2023-02-06 10:00:00,78.52,17.74,121.74
109,72.73,2023-02-06 09:00:00,80.19,18.76,121.74
110,71.22,2023-02-06 08:00:00,81.87,19.55,122.6
111,72.73,2023-02-06 07:00:00,80.19,20.35,123.47
112,71.22,2023-02-06 06:00:00,78.52,20.89,124.35
113,71.22,2023-02-06 05:00:00,76.87,20.62,125.22
114,71.22,2023-02-06 04:00:00,76.87,18.25,125.22
115,71.22,2023-02-06 03:00:00,75.23,18.0,125.22
116,71.22,2023-02-06 02:00:00,75.23,17.49,124.35
117,71.22,2023-02-06 01:00:00,73.61,17.24,125.22
118,71.22,2023-02-06 00:00:00,73.61,17.24,125.22
119,71.22,2023-02-05 23:00:00,73.61,17.24,125.22
120,68.23,2023-02-05 22:00:00,73.61,16.5,126.1
121,66.74,2023-02-05 21:00:00,73.61,16.5,126.98
122,65.26,2023-02-05 20:00:00,70.42,16.75,126.98
123,65.26,2023-02-05 19:00:00,68.85,12.18,126.1
124,66.74,2023-02-05 18:00:00,67.3,11.97,126.1
125,69.72,2023-02-05 17:00:00,65.77,11.97,126.1
126,72.73,2023-02-05 16:00:00,65.77,12.18,126.98
127,72.73,2023-02-05 15:00:00,65.77,12.18,125.22
128,74.24,2023-02-05 14:00:00,70.42,12.18,126.1
129,75.77,2023-02-05 13:00:00,75.23,11.97,126.1
130,75.77,2023-02-05 12:00:00,78.52,11.55,126.1
131,75.77,2023-02-05 11:00:00,81.87,10.94,126.98
132,75.77,2023-02-05 10:00:00,83.57,11.35,126.98
133,75.77,2023-02-05 09:00:00,87.03,12.18,126.98
134,75.77,2023-02-05 08:00:00,87.03,12.18,127.86
135,75.77,2023-02-05 07:00:00,87.03,12.18,127.86
136,74.24,2023-02-05 06:00:00,87.03,12.18,127.86
137,74.24,2023-02-05 05:00:00,87.03,12.18,128.75
138,74.24,2023-02-05 04:00:00,80.19,12.18,127.86
139,74.24,2023-02-05 03:00:00,80.19,12.18,128.75
140,74.24,2023-02-05 02:00:00,80.19,12.18,127.86
141,74.24,2023-02-05 01:00:00,80.19,12.18,129.64
142,75.77,2023-02-05 00:00:00,78.52,12.18,128.75
143,75.77,2023-02-04 23:00:00,78.52,12.18,128.75
144,74.24,2023-02-04 22:00:00,76.87,12.18,128.75
145,75.77,2023-02-04 21:00:00,75.23,12.18,129.64
146,75.77,2023-02-04 20:00:00,73.61,12.18,129.64
147,75.77,2023-02-04 19:00:00,72.01,12.39,129.64
148,75.77,2023-02-04 18:00:00,70.42,12.39,129.64
149,75.77,2023-02-04 17:00:00,72.01,12.39,129.64
150,75.77,2023-02-04 16:00:00,73.61,12.39,129.64
151,75.77,2023-02-04 15:00:00,75.23,12.39,129.64
152,75.77,2023-02-04 14:00:00,80.19,12.39,129.64
153,74.24,2023-02-04 12:00:00,88.78,12.39,130.53
154,74.24,2023-02-04 11:00:00,94.13,12.18,130.53
155,75.77,2023-02-04 10:00:00,95.95,12.39,131.43
156,75.77,2023-02-04 09:00:00,95.95,12.39,132.32
157,74.24,2023-02-04 08:00:00,97.78,12.39,132.32
158,75.77,2023-02-04 07:00:00,97.78,12.39,132.32
159,75.77,2023-02-04 06:00:00,90.55,12.39,133.23
160,75.77,2023-02-04 05:00:00,90.55,12.39,133.23
161,75.77,2023-02-04 04:00:00,90.55,12.61,134.13
162,74.24,2023-02-04 03:00:00,90.55,12.18,134.13
163,75.77,2023-02-04 02:00:00,88.78,12.61,134.13
164,75.77,2023-02-04 01:00:00,87.03,12.61,134.13
165,75.77,2023-02-04 00:00:00,87.03,12.82,135.04
166,75.77,2023-02-03 23:00:00,85.29,12.82,135.04
167,75.77,2023-02-03 22:00:00,83.57,12.82,135.95
168,74.24,2023-02-03 21:00:00,80.19,12.82,136.86
169,75.77,2023-02-03 20:00:00,76.87,13.04,136.86
170,75.77,2023-02-03 19:00:00,75.23,13.04,138.69
171,75.77,2023-02-03 18:00:00,75.23,13.04,137.77
172,75.77,2023-02-03 17:00:00,76.87,13.04,139.61
173,75.77,2023-02-03 16:00:00,78.52,13.04,140.54
174,77.3,2023-02-03 15:00:00,80.19,13.26,142.39
175,75.77,2023-02-03 14:00:00,83.57,13.48,142.39
176,75.77,2023-02-03 13:00:00,88.78,13.48,143.33
177,75.77,2023-02-03 12:00:00,92.33,13.48,145.2
178,75.77,2023-02-03 11:00:00,95.95,13.48,145.2
179,75.77,2023-02-03 10:00:00,99.63,13.48,147.09
180,75.77,2023-02-03 09:00:00,105.28,13.48,147.09
181,75.77,2023-02-03 08:00:00,105.28,13.48,148.03
182,75.77,2023-02-03 07:00:00,105.28,13.48,148.98
183,75.77,2023-02-03 06:00:00,99.63,13.7,148.98
184,75.77,2023-02-03 05:00:00,99.63,13.7,148.98
185,77.3,2023-02-03 04:00:00,97.78,13.7,148.98
186,78.84,2023-02-03 03:00:00,99.63,13.7,148.98
187,80.38,2023-02-03 02:00:00,99.63,13.7,148.98
188,80.38,2023-02-03 01:00:00,99.63,13.93,148.98
189,80.38,2023-02-03 00:00:00,97.78,13.93,148.98
190,80.38,2023-02-02 23:00:00,97.78,14.15,149.94
191,81.93,2023-02-02 22:00:00,95.95,14.15,149.94
192,85.06,2023-02-02 21:00:00,94.13,14.15,149.94
193,86.63,2023-02-02 20:00:00,90.55,14.38,149.94
194,86.63,2023-02-02 19:00:00,90.55,14.38,149.94
195,86.63,2023-02-02 18:00:00,87.03,14.61,149.94
196,86.63,2023-02-02 17:00:00,88.78,14.61,150.89
197,86.63,2023-02-02 16:00:00,90.55,14.84,150.89
198,86.63,2023-02-02 15:00:00,94.13,14.61,151.85
199,88.21,2023-02-02 14:00:00,99.63,14.61,151.85
200,86.63,2023-02-02 13:00:00,101.5,14.61,152.81
201,86.63,2023-02-02 12:00:00,103.38,14.61,153.78
202,86.63,2023-02-02 11:00:00,109.12,14.84,155.71
203,86.63,2023-02-02 10:00:00,111.07,14.84,155.71
204,86.63,2023-02-02 09:00:00,113.03,14.61,157.66
205,85.06,2023-02-02 08:00:00,113.03,14.84,158.64
206,86.63,2023-02-02 07:00:00,113.03,14.84,159.62
207,86.63,2023-02-02 06:00:00,111.07,15.07,160.6
208,86.63,2023-02-02 05:00:00,109.12,15.07,161.59
209,86.63,2023-02-02 04:00:00,107.19,15.07,160.6
210,86.63,2023-02-02 03:00:00,107.19,15.31,160.6
211,86.63,2023-02-02 02:00:00,107.19,15.31,160.6
212,86.63,2023-02-02 01:00:00,107.19,15.31,161.59
213,86.63,2023-02-02 00:00:00,109.12,15.31,161.59
214,86.63,2023-02-01 23:00:00,109.12,15.54,162.58
215,86.63,2023-02-01 22:00:00,107.19,15.54,162.58
216,86.63,2023-02-01 21:00:00,107.19,15.78,163.57
217,86.63,2023-02-01 20:00:00,105.28,16.02,163.57
218,89.8,2023-02-01 19:00:00,101.5,16.02,163.57
219,92.99,2023-02-01 18:00:00,101.5,16.26,164.57
220,92.99,2023-02-01 17:00:00,99.63,16.26,163.57
221,92.99,2023-02-01 16:00:00,101.5,16.26,164.57
222,92.99,2023-02-01 15:00:00,103.38,16.5,165.57
223,92.99,2023-02-01 14:00:00,109.12,16.5,166.57
224,92.99,2023-02-01 13:00:00,113.03,16.5,168.58
225,91.39,2023-02-01 12:00:00,117.01,16.5,170.6
226,92.99,2023-02-01 11:00:00,121.05,16.5,169.59
227,91.39,2023-02-01 10:00:00,123.09,16.5,171.62
228,91.39,2023-02-01 09:00:00,125.15,16.5,173.66
229,92.99,2023-02-01 08:00:00,125.15,16.75,175.71
230,91.39,2023-02-01 07:00:00,125.15,16.75,178.8
231,91.39,2023-02-01 06:00:00,123.09,16.75,180.88
232,91.39,2023-02-01 05:00:00,121.05,16.75,182.97
233,91.39,2023-02-01 04:00:00,119.02,16.99,184.02
234,92.99,2023-02-01 03:00:00,121.05,17.49,185.07
235,91.39,2023-02-01 02:00:00,119.02,17.49,186.13
236,92.99,2023-02-01 01:00:00,121.05,17.49,185.07
237,91.39,2023-02-01 00:00:00,123.09,17.49,185.07
238,94.6,2023-01-31 23:00:00,125.15,17.74,185.07
239,94.6,2023-01-31 22:00:00,129.32,17.74,185.07
240,94.6,2023-01-31 21:00:00,131.43,18.0,187.19
241,92.99,2023-01-31 20:00:00,131.43,18.25,188.25
242,92.99,2023-01-31 19:00:00,127.23,18.25,189.31
243,94.6,2023-01-31 18:00:00,127.23,18.25,190.38
244,96.21,2023-01-31 17:00:00,125.15,18.51,190.38
245,102.72,2023-01-31 16:00:00,125.15,18.76,191.45
246,111.0,2023-01-31 15:00:00,127.23,18.76,192.52
247,109.34,2023-01-31 14:00:00,131.43,18.76,193.59
248,109.34,2023-01-31 13:00:00,135.69,19.02,193.59
249,111.0,2023-01-31 12:00:00,142.21,19.02,194.67
250,107.67,2023-01-31 11:00:00,146.63,19.02,194.67
251,101.08,2023-01-31 10:00:00,151.12,19.02,195.75
252,101.08,2023-01-31 09:00:00,151.12,19.02,197.92
253,101.08,2023-01-31 08:00:00,151.12,19.29,199.01
254,101.08,2023-01-31 07:00:00,153.39,19.29,199.01
255,107.67,2023-01-31 06:00:00,151.12,19.29,201.2
256,107.67,2023-01-31 05:00:00,146.63,19.55,202.29
257,107.67,2023-01-31 04:00:00,146.63,19.55,202.29
258,109.34,2023-01-31 03:00:00,144.41,19.81,204.5
259,107.67,2023-01-31 02:00:00,144.41,19.81,205.6
260,107.67,2023-01-31 01:00:00,144.41,19.81,207.82
261,109.34,2023-01-31 00:00:00,144.41,20.08,208.94
262,109.34,2023-01-30 23:00:00,144.41,20.08,211.17
263,109.34,2023-01-30 22:00:00,144.41,20.35,212.29
264,107.67,2023-01-30 21:00:00,142.21,20.35,214.55
265,109.34,2023-01-30 20:00:00,140.02,20.89,214.55
266,111.0,2023-01-30 19:00:00,140.02,20.89,215.68
267,111.0,2023-01-30 18:00:00,140.02,20.89,215.68
268,111.0,2023-01-30 17:00:00,144.41,21.16,214.55
269,109.34,2023-01-30 16:00:00,146.63,21.44,216.81
270,111.0,2023-01-30 15:00:00,148.87,21.71,217.95
271,109.34,2023-01-30 14:00:00,153.39,21.71,217.95
272,109.34,2023-01-30 13:00:00,157.97,21.99,217.95
273,111.0,2023-01-30 12:00:00,162.62,21.99,219.09
274,117.74,2023-01-30 11:00:00,164.97,21.99,219.09
275,117.74,2023-01-30 10:00:00,169.71,21.99,221.38
276,117.74,2023-01-30 09:00:00,172.11,21.99,223.67
277,117.74,2023-01-30 08:00:00,169.71,21.99,224.83
278,119.43,2023-01-30 07:00:00,169.71,22.27,227.14
279,116.04,2023-01-30 06:00:00,167.33,22.27,229.47
280,117.74,2023-01-30 05:00:00,164.97,22.27,230.64
281,117.74,2023-01-30 04:00:00,164.97,22.27,234.15
282,117.74,2023-01-30 03:00:00,162.62,22.84,236.51
283,117.74,2023-01-30 02:00:00,164.97,22.84,240.07
284,117.74,2023-01-30 01:00:00,162.62,22.84,243.66
285,117.74,2023-01-30 00:00:00,162.62,22.84,249.69
286,117.74,2023-01-29 23:00:00,162.62,23.12,253.34
287,116.04,2023-01-29 22:00:00,162.62,23.41,258.25
288,117.74,2023-01-29 21:00:00,162.62,23.7,261.96
289,117.74,2023-01-29 20:00:00,160.29,23.99,266.95
290,117.74,2023-01-29 19:00:00,157.97,24.28,269.46
291,117.74,2023-01-29 18:00:00,160.29,24.57,271.98
292,117.74,2023-01-29 17:00:00,162.62,24.86,275.78
293,117.74,2023-01-29 16:00:00,172.11,24.86,279.6
294,117.74,2023-01-29 15:00:00,179.39,25.16,283.45
295,117.74,2023-01-29 14:00:00,189.31,25.46,286.04
296,119.43,2023-01-29 13:00:00,194.37,25.76,289.93
297,119.43,2023-01-29 12:00:00,202.08,25.76,295.16
298,121.14,2023-01-29 11:00:00,209.92,26.06,300.43
299,128.01,2023-01-29 10:00:00,215.23,26.36,307.08
300,136.72,2023-01-29 09:00:00,220.6,26.36,313.8
301,134.97,2023-01-29 08:00:00,223.31,26.06,321.96
302,136.72,2023-01-29 07:00:00,223.31,26.67,328.83
303,136.72,2023-01-29 06:00:00,223.31,26.67,335.77
304,136.72,2023-01-29 05:00:00,223.31,26.97,341.37
305,143.79,2023-01-29 04:00:00,226.03,27.28,345.6
306,143.79,2023-01-29 03:00:00,234.3,27.59,351.27
307,143.79,2023-01-29 02:00:00,239.89,27.9,356.99
308,145.57,2023-01-29 01:00:00,248.38,28.22,362.76
309,145.57,2023-01-29 00:00:00,254.13,28.85,371.49
310,145.57,2023-01-28 23:00:00,259.93,29.16,377.36
311,145.57,2023-01-28 22:00:00,262.86,29.48,389.23
312,161.81,2023-01-28 21:00:00,262.86,30.13,399.77
313,163.64,2023-01-28 20:00:00,262.86,30.45,411.97
314,163.64,2023-01-28 19:00:00,259.93,31.43,422.78
315,174.72,2023-01-28 18:00:00,259.93,31.77,432.16
316,176.58,2023-01-28 17:00:00,265.8,32.77,438.46
317,176.58,2023-01-28 16:00:00,274.71,33.44,449.6
318,176.58,2023-01-28 15:00:00,289.88,34.13,456.02
319,176.58,2023-01-28 14:00:00,311.76,34.82,465.73
320,176.58,2023-01-28 13:00:00,331.1,35.51,470.63
321,176.58,2023-01-28 12:00:00,347.64,36.57,475.55
322,176.58,2023-01-28 11:00:00,364.56,37.64,483.79
323,176.58,2023-01-28 10:00:00,371.43,38.72,490.44
324,191.65,2023-01-28 09:00:00,381.86,40.19,498.81
325,201.22,2023-01-28 08:00:00,388.88,42.07,507.25
326,207.01,2023-01-28 07:00:00,392.42,43.98,515.75
327,214.79,2023-01-28 06:00:00,392.42,46.33,526.04
328,218.71,2023-01-28 05:00:00,392.42,49.14,536.43
329,220.67,2023-01-28 04:00:00,388.88,52.03,541.65
330,222.64,2023-01-28 03:00:00,392.42,54.57,553.95
331,230.56,2023-01-28 02:00:00,403.11,55.43,564.59
332,234.54,2023-01-28 01:00:00,413.94,55.43,571.74
333,234.54,2023-01-28 00:00:00,428.59,55.86,580.73
334,230.56,2023-01-27 23:00:00,447.24,56.29,589.79
335,230.56,2023-01-27 22:00:00,462.43,57.17,597.08
336,238.54,2023-01-27 21:00:00,473.98,59.37,600.75
337,244.57,2023-01-27 20:00:00,481.75,61.62,598.91
338,248.6,2023-01-27 19:00:00,493.53,63.9,593.43
339,252.66,2023-01-27 18:00:00,513.44,62.99,586.16
340,262.86,2023-01-27 17:00:00,541.95,61.62,575.33
341,273.15,2023-01-27 16:00:00,566.96,62.99,562.81
342,285.63,2023-01-27 15:00:00,571.18,66.23,548.66
343,273.15,2023-01-27 14:00:00,571.18,71.97,532.95
344,283.54,2023-01-27 13:00:00,562.75,78.44,520.88
345,291.92,2023-01-27 12:00:00,546.08,86.22,508.94
346,328.14,2023-01-27 11:00:00,525.57,93.81,495.46
347,336.81,2023-01-27 10:00:00,493.53,102.84,488.78
348,336.81,2023-01-27 09:00:00,458.61,114.68,480.49
349,332.47,2023-01-27 08:00:00,424.91,125.85,477.19
350,321.68,2023-01-27 07:00:00,399.53,134.88,475.55
351,313.11,2023-01-27 06:00:00,381.86,142.85,480.49
352,300.35,2023-01-27 05:00:00,374.89,150.35,483.79
353,260.81,2023-01-27 04:00:00,367.99,153.12,498.81
354,244.57,2023-01-27 03:00:00,364.56,150.35,505.55
355,236.54,2023-01-27 02:00:00,361.15,132.27,519.17
356,214.79,2023-01-27 01:00:00,364.56,115.9,529.49
357,205.08,2023-01-27 00:00:00,374.89,97.71,538.17
358,205.08,2023-01-26 23:00:00,388.88,78.94,550.42
359,208.95,2023-01-26 22:00:00,406.71,57.17,561.03
360,195.47,2023-01-26 21:00:00,417.58,29.16,573.53
361,193.56,2023-01-26 20:00:00,421.24,28.22,586.16
362,193.56,2023-01-26 19:00:00,428.59,29.16,591.61
363,197.38,2023-01-26 18:00:00,436.01,29.8,604.42
364,212.84,2023-01-26 17:00:00,443.48,30.45,617.36
365,214.79,2023-01-26 16:00:00,454.81,31.43,626.68
366,218.71,2023-01-26 15:00:00,470.12,32.43,639.85
367,222.64,2023-01-26 14:00:00,489.59,33.78,651.23
368,226.59,2023-01-26 13:00:00,513.44,34.82,664.63
369,228.57,2023-01-26 12:00:00,529.64,36.57,676.22
370,232.55,2023-01-26 11:00:00,537.83,38.0,678.16
371,234.54,2023-01-26 10:00:00,541.95,39.46,701.66
372,236.54,2023-01-26 09:00:00,562.75,41.69,711.55
373,250.63,2023-01-26 08:00:00,575.41,44.37,711.55
374,252.66,2023-01-26 07:00:00,596.81,47.12,723.52
375,252.66,2023-01-26 03:00:00,690.66,58.93,721.52
376,254.69,2023-01-26 02:00:00,713.96,62.07,719.52
377,264.91,2023-01-26 01:00:00,737.62,65.29,715.53
378,264.91,2023-01-26 00:00:00,742.4,67.64,707.59
379,266.97,2023-01-25 23:00:00,732.86,69.07,709.57
380,269.02,2023-01-25 22:00:00,713.96,67.64,699.68
381,273.15,2023-01-25 21:00:00,690.66,64.83,691.82
382,281.46,2023-01-25 20:00:00,672.29,65.76,680.11
383,296.13,2023-01-25 19:00:00,676.86,69.55,670.42
384,287.72,2023-01-25 18:00:00,695.29,77.42,658.87
385,287.72,2023-01-25 17:00:00,718.66,76.42,639.85
386,271.09,2023-01-25 16:00:00,728.11,52.45,619.22
387,269.02,2023-01-25 15:00:00,718.66,52.45,598.91
388,208.95,2023-01-25 14:00:00,713.96,54.57,577.12
389,258.77,2023-01-25 13:00:00,709.27,56.29,546.91
390,277.3,2023-01-25 12:00:00,709.27,57.6,520.88
391,279.38,2023-01-25 11:00:00,704.6,58.49,490.44
392,281.46,2023-01-25 10:00:00,686.05,58.93,457.63
393,279.38,2023-01-25 09:00:00,658.66,59.82,425.9
394,264.91,2023-01-25 08:00:00,614.19,62.07,401.28
395,258.77,2023-01-25 07:00:00,566.96,63.9,378.83
396,234.54,2023-01-25 04:00:00,364.56,66.23,335.77
397,222.64,2023-01-25 03:00:00,305.43,63.9,332.98
398,226.59,2023-01-25 02:00:00,259.93,58.49,328.83
399,210.89,2023-01-25 01:00:00,228.77,43.98,323.32
400,207.01,2023-01-25 00:00:00,199.49,25.76,326.07
401,167.31,2023-01-24 23:00:00,189.31,22.55,335.77
402,163.64,2023-01-24 22:00:00,186.81,22.27,342.77
403,163.64,2023-01-24 21:00:00,184.32,22.27,348.43
404,158.17,2023-01-24 20:00:00,184.32,22.27,348.43
405,145.57,2023-01-24 19:00:00,184.32,22.27,348.43
406,143.79,2023-01-24 18:00:00,186.81,22.27,341.37
407,143.79,2023-01-24 17:00:00,191.83,22.27,347.01
408,143.79,2023-01-24 16:00:00,199.49,22.84,352.7
409,143.79,2023-01-24 15:00:00,207.29,23.12,359.87
410,143.79,2023-01-24 14:00:00,217.91,22.84,367.11
411,150.94,2023-01-24 13:00:00,228.77,22.55,374.42
412,154.54,2023-01-24 12:00:00,237.08,21.99,383.27
413,159.99,2023-01-24 11:00:00,245.54,21.44,390.73
414,167.31,2023-01-24 10:00:00,254.13,21.16,399.77
415,171.01,2023-01-24 09:00:00,259.93,21.16,408.9
416,169.16,2023-01-24 08:00:00,262.86,21.44,413.5
417,169.16,2023-01-24 07:00:00,254.13,21.99,418.13
418,172.86,2023-01-24 06:00:00,254.13,21.99,419.68
419,176.58,2023-01-24 05:00:00,259.93,22.27,413.5
420,176.58,2023-01-24 04:00:00,262.86,21.99,405.84
421,176.58,2023-01-24 03:00:00,254.13,22.27,396.74
422,178.45,2023-01-24 02:00:00,259.93,22.84,396.74
423,176.58,2023-01-24 01:00:00,262.86,23.12,399.77
424,176.58,2023-01-24 00:00:00,280.73,23.7,407.37
425,178.45,2023-01-23 23:00:00,280.73,24.28,413.5
426,180.32,2023-01-23 22:00:00,280.73,25.16,416.59
427,187.86,2023-01-23 21:00:00,245.54,26.06,411.97
428,238.54,2023-01-23 20:00:00,234.3,26.97,401.28
429,262.86,2023-01-23 19:00:00,226.03,27.9,398.25
430,281.46,2023-01-23 18:00:00,223.31,28.85,399.77
431,236.54,2023-01-23 17:00:00,226.03,30.45,399.77
432,195.47,2023-01-23 16:00:00,234.3,31.77,399.77
433,187.86,2023-01-23 15:00:00,239.89,33.78,398.25
434,180.32,2023-01-23 14:00:00,251.25,35.86,393.73
435,180.32,2023-01-23 13:00:00,262.86,38.36,386.25
436,178.45,2023-01-23 12:00:00,274.71,40.94,378.83
437,180.32,2023-01-23 11:00:00,280.73,43.98,370.02
438,187.86,2023-01-23 10:00:00,286.82,47.12,362.76
439,201.22,2023-01-23 09:00:00,289.88,50.37,356.99
440,207.01,2023-01-23 08:00:00,289.88,52.87,354.13
441,212.84,2023-01-23 07:00:00,289.88,55.43,355.56
442,212.84,2023-01-23 05:00:00,271.73,61.17,364.21
443,212.84,2023-01-23 04:00:00,265.8,65.76,370.02
444,216.75,2023-01-23 03:00:00,254.13,66.7,378.83
445,214.79,2023-01-23 02:00:00,248.38,59.37,381.79
446,214.79,2023-01-23 01:00:00,245.54,50.37,386.25
447,208.95,2023-01-23 00:00:00,251.25,44.37,387.74
448,208.95,2023-01-22 23:00:00,207.29,36.92,389.23
449,208.95,2023-01-22 22:00:00,212.57,34.13,386.25
